SummonerName,WinLoss,Lane,Champion,Q casts,W casts,E casts,R casts,ChampLevel,CS,Kills,Deaths,Assists,Exp,Damage,Shielding,Healing,Total Damage Taken,Wards Placed,Wards Killed,Vision Score,Penta Kills,Game Time seconds,Crowd Control,Time spent dead,Kill participation,Team damage percentage,Skillshots hit,Skillshots dodged,Solo kills,Turret plates taken
Kazehaya,True,MIDDLE,Yasuo,424,22,196,9,18,240,17,9,13,22674,36922,0,8053,40805,11,2,21,0,2512,177,305,0.8333333333333334,0.2683132450340102,29,27,3,1
n4ko ,True,BOTTOM,Caitlyn,102,37,10,6,18,260,9,5,19,19038,29008,0,3603,20380,13,6,34,0,2512,114,209,0.7777777777777778,0.21079953665056858,12,9,0,1
Ausfreak,True,UTILITY,Nautilus,48,36,41,9,16,35,3,7,30,15341,11186,2341,3236,22416,27,13,73,0,2512,440,233,0.9166666666666666,0.08129295045750366,18,20,0,0
ThuocLao Vietnam,False,TOP,Jayce,178,104,117,170,18,230,11,9,4,20535,42695,0,2144,33889,10,3,24,0,2512,366,342,0.3191489361702128,0.3246823974409149,43,32,5,5
Ping3r,False,JUNGLE,Diana,142,61,80,11,18,95,8,7,9,21997,33495,0,10832,35979,3,9,43,0,2512,246,266,0.3617021276595745,0.25472167148792235,19,24,1,4
Nolsey,False,MIDDLE,Riven,284,63,90,27,18,254,10,6,10,21140,33466,0,4365,29934,15,1,25,0,2512,158,180,0.425531914893617,0.2544986407131287,26,29,5,3
Sheré Khan,False,BOTTOM,Renekton,68,31,99,8,17,217,3,13,9,16810,11212,0,5527,41085,14,2,27,0,2512,32,407,0.2553191489361702,0.08526515831906238,38,50,0,0
Jimmychangas,False,UTILITY,Leona,56,43,33,14,15,39,4,12,13,13627,10629,1109,1751,35202,40,10,85,0,2512,122,377,0.3617021276595745,0.0808321320389716,65,69,0,0
Banksyy,True,TOP,Urgot,36,106,27,14,16,192,12,7,9,15972,25398,0,2596,25275,10,0,18,0,1642,350,191,0.8076923076923077,0.28513164400649604,42,53,3,3
Frommoh,True,JUNGLE,Volibear,36,111,67,6,14,5,11,6,11,12549,15509,0,9828,27515,6,3,22,0,1642,458,116,0.8461538461538461,0.17411848018141218,40,39,2,0
Windows 95,True,MIDDLE,Xerath,105,67,30,35,15,129,9,4,13,14594,27958,0,641,12493,10,3,36,0,1642,292,109,0.8461538461538461,0.31387110113527117,10,17,2,0
GotTits,True,BOTTOM,Lucian,62,36,40,7,14,178,4,5,10,11725,12447,0,1469,13438,7,1,14,0,1642,3,151,0.5384615384615384,0.1397436859804358,19,12,0,3
Ausfreak,True,UTILITY,Blitzcrank,24,36,27,11,13,24,4,4,14,11119,7761,548,1624,15335,13,3,26,0,1642,230,122,0.6923076923076923,0.08713508869638485,35,24,0,3
Bec2002,False,TOP,Irelia,178,23,54,8,14,155,10,10,9,12625,22485,0,6713,32202,7,5,18,0,1642,57,276,0.475,0.30690039866891944,49,32,6,9
OUTLaws,False,JUNGLE,Malphite,55,49,75,6,12,16,5,8,5,8898,9034,0,5601,22116,6,0,11,0,1642,578,214,0.25,0.12331441293882965,9,11,0,0
USLKHDavid17,False,MIDDLE,Yasuo,205,18,147,5,13,140,5,7,6,10886,13204,0,1626,23224,8,3,19,0,1642,88,231,0.275,0.1802341320511721,49,7,1,4
ValhaIIa,False,BOTTOM,Jinx,157,24,10,9,12,164,2,6,5,9908,12132,0,1073,14725,8,2,14,0,1642,43,138,0.175,0.16559194173162198,36,8,0,1
Belphie,False,UTILITY,Karma,88,25,100,43,12,14,4,9,7,8657,16408,3569,3351,20680,20,2,46,0,1642,271,240,0.275,0.22395911460945686,28,10,1,1
haven beer,True,TOP,DrMundo,115,28,63,9,14,175,3,9,6,12531,19496,0,6441,34816,5,1,10,0,1643,176,228,0.36,0.21227571493884395,37,22,1,4
Frommoh,True,JUNGLE,Poppy,127,27,42,7,15,28,10,3,10,14413,18711,0,9416,24323,6,5,30,0,1643,704,83,0.8,0.20372766503409973,28,33,2,0
Ausfreak,True,UTILITY,Nami,28,62,89,10,14,9,4,2,30,12806,10855,0,12521,9587,14,2,41,0,1643,184,56,1.36,0.11819325875258639,11,4,1,4
rawdogfeeder,True,BOTTOM,Lucian,79,36,46,8,15,195,25,7,7,14049,31819,0,1979,22620,8,0,11,0,1643,21,206,1.28,0.3464467588924103,33,38,3,5
SUDS,True,MIDDLE,Neeko,84,84,68,10,13,99,3,4,4,11058,10962,0,2350,15095,10,3,29,0,1643,185,122,0.28,0.11935660238205967,29,20,1,4
Uncle99Cherry,False,TOP,Shen,132,20,36,5,15,156,4,5,10,13513,18629,2479,1881,24502,8,0,11,0,1643,1321,108,0.3111111111111111,0.239233203595199,45,9,1,0
ChaosTactics111,False,JUNGLE,Vi,93,0,83,10,14,47,13,8,4,12671,19719,0,8068,28763,2,2,25,0,1643,250,237,0.37777777777777777,0.2532341971574608,21,8,3,1
AtlasC,False,MIDDLE,Ahri,71,40,30,20,13,114,4,7,5,11195,13400,0,2456,21170,13,1,18,0,1643,53,195,0.2,0.1720824479851169,27,7,0,2
SQ 279,False,BOTTOM,Jinx,90,29,21,6,12,129,3,11,5,9866,10311,0,1900,17517,7,0,9,0,1643,53,209,0.17777777777777778,0.1324174474930762,20,10,1,0
HatesRito,False,UTILITY,Lux,38,19,133,9,12,51,1,14,8,9918,15810,453,451,17103,19,3,38,0,1643,200,242,0.2,0.20303270376914703,19,10,1,0
Heaven Punisher,False,TOP,Yone,231,83,36,10,18,198,15,7,0,19223,38714,0,2743,34350,7,0,12,0,1854,209,247,0.2830188679245283,0.4006632169998393,44,21,10,0
Vickers,False,JUNGLE,Khazix,113,68,28,13,13,70,2,17,3,10017,11143,0,5052,30006,8,0,14,0,1854,152,491,0.09433962264150944,0.11532592345648054,32,18,1,4
MonkeyDGarp63,False,MIDDLE,Malzahar,45,57,87,9,16,202,6,7,8,16231,20464,0,953,19175,10,1,17,0,1854,475,211,0.2641509433962264,0.21178515538549397,34,18,2,5
Ausfreak,False,BOTTOM,Caitlyn,34,32,18,5,13,116,2,9,5,10419,9779,0,2934,18057,7,2,13,0,1854,49,242,0.1320754716981132,0.10120915540716245,33,35,0,5
Frommoh,False,UTILITY,Velkoz,106,66,33,6,13,21,5,13,5,11375,16524,0,0,19502,21,6,52,0,1854,159,385,0.18867924528301888,0.1710165487510237,38,29,1,2
SahannyBill,True,TOP,Fiora,136,14,34,8,17,212,4,5,1,17292,11605,0,3585,20293,3,0,11,0,1854,61,201,0.16666666666666666,0.12045770583420044,21,6,1,1
Noamit,True,JUNGLE,LeeSin,176,146,117,9,15,26,13,8,9,14111,18778,150,8104,33466,8,2,25,0,1854,270,254,0.7333333333333333,0.19491718581568496,21,16,2,2
I Am Mufasa,True,MIDDLE,Kaisa,109,70,58,14,17,161,21,7,10,17428,33895,0,526,26471,3,0,4,0,1854,79,277,1.0333333333333334,0.35182293055665115,40,19,7,0
weed form,True,BOTTOM,Senna,79,51,25,8,15,30,10,6,15,14577,16948,1417,15614,21323,11,0,21,0,1854,216,222,0.8333333333333334,0.17592099345922818,34,36,3,3
Retroca,True,UTILITY,TahmKench,113,28,23,12,16,128,5,4,20,15456,15114,1179,6821,29071,19,2,34,0,1854,728,141,0.8333333333333334,0.15688118433423529,68,55,1,3
very bad dragon,True,TOP,Nasus,301,28,42,15,18,243,7,7,6,19253,27774,0,5850,40133,8,1,15,0,2044,89,214,0.3611111111111111,0.22622796825804586,51,52,4,3
Frommoh,True,JUNGLE,Lillia,194,85,66,12,18,79,11,5,11,18381,29458,0,21866,41392,4,5,24,0,2044,324,169,0.6111111111111112,0.23994198121955698,49,78,4,1
Ausfreak,True,MIDDLE,Ahri,90,142,47,49,17,202,6,6,10,17345,20238,0,5225,20697,13,4,34,0,2044,82,238,0.4444444444444444,0.16484738078225894,35,51,0,0
DiorDiaperDelux,True,BOTTOM,Caitlyn,53,24,19,6,16,206,9,8,7,15184,33573,0,4172,24458,9,2,15,0,2044,102,203,0.4444444444444444,0.27346294632330576,46,100,1,3
Adonexxus ,True,UTILITY,Pyke,47,26,30,8,13,46,4,11,12,10830,11727,0,1927,19961,23,7,47,0,2044,84,339,0.4444444444444444,0.09551972341683247,37,88,3,0
lightningchocobo,False,TOP,Jax,41,133,46,13,17,209,2,9,8,16709,24476,0,7255,38415,11,1,18,0,2044,72,337,0.2631578947368421,0.22036507736310126,19,12,1,3
B G,False,JUNGLE,Warwick,98,14,68,14,16,23,8,7,6,15120,15256,0,21426,47516,12,4,31,0,2044,460,249,0.3684210526315789,0.13735881153240623,22,20,1,2
HASAGI456,False,MIDDLE,Veigar,224,115,34,16,18,311,12,5,2,23700,30701,0,1051,16761,13,4,24,0,2044,94,118,0.3684210526315789,0.27641081422124775,49,27,4,0
OnTheRhodeAgain,False,BOTTOM,Ashe,10,87,13,14,15,145,10,9,12,13822,26734,0,4665,32265,11,2,33,0,2044,626,321,0.5789473684210527,0.24069578587705825,35,33,1,1
Banzhee,False,UTILITY,Renata,58,13,70,9,15,33,5,7,17,13286,13902,3442,3053,22049,35,7,71,0,2044,308,217,0.5789473684210527,0.12516951100618653,34,25,1,1
Penners,True,TOP,Warwick,73,3,28,9,17,167,7,4,7,16652,18238,0,16661,33067,11,4,23,0,2053,88,124,0.6666666666666666,0.19202914167630855,21,20,5,5
Frommoh,True,JUNGLE,Elise,157,149,72,113,16,26,6,6,13,15364,20166,0,12837,33109,7,5,38,0,2053,115,177,0.9047619047619048,0.2123273898821603,14,25,2,5
Ausfreak,True,MIDDLE,Ahri,93,119,38,36,17,188,8,5,10,16803,19772,0,6050,22717,11,6,30,0,2053,40,188,0.8571428571428571,0.20818570946075446,16,19,3,0
Q i,True,BOTTOM,Samira,137,18,36,5,17,210,13,3,5,16489,28104,0,3046,24306,11,1,19,0,2053,58,97,0.8571428571428571,0.29591208685811377,13,13,1,2
sofxv,True,UTILITY,Soraka,85,28,26,8,14,17,5,3,11,12471,8694,1423,23572,12280,19,4,44,0,2053,203,81,0.7619047619047619,0.09154567212266293,7,10,0,2
zhouerke,False,TOP,Aatrox,223,45,84,9,16,192,4,8,4,15842,17411,0,8969,33559,13,2,24,0,2053,236,216,0.20512820512820512,0.1811294021811051,38,33,1,0
Hammer down,False,JUNGLE,Hecarim,222,52,53,11,15,36,9,8,5,13112,16245,0,11894,34306,6,3,29,0,2053,196,277,0.358974358974359,0.16899942777235738,33,21,1,0
RaIph Wiggum,False,MIDDLE,Malzahar,126,87,105,11,17,221,4,9,10,16642,29113,0,969,20962,8,2,15,0,2053,837,286,0.358974358974359,0.30287285990915186,56,35,1,1
YangMingbaba66de,False,BOTTOM,Jinx,110,16,15,7,15,186,3,7,6,13612,12091,0,1020,15853,7,0,9,0,2053,24,176,0.23076923076923078,0.12579139481214272,26,24,0,0
rnqCindel,False,UTILITY,Brand,65,90,67,15,13,32,1,7,9,11302,21263,0,941,16014,30,8,70,0,2053,34,183,0.2564102564102564,0.22120691532524292,26,21,0,1
NS Slatt,True,UTILITY,Renekton,71,45,59,9,17,52,2,6,17,18298,16505,0,7002,30035,7,0,12,0,1534,31,199,0.6129032258064516,0.1269276714541261,0,1,0,1
Kittykatveon,True,BOTTOM,Renekton,60,42,45,10,17,71,9,7,11,17919,23482,0,5731,27540,7,1,12,0,1534,55,224,0.6451612903225806,0.1805826007712811,2,1,1,2
Patosh,True,TOP,Renekton,66,48,60,10,18,95,20,3,11,19858,43033,0,15563,38290,6,0,11,0,1534,422,124,1,0.33093716289232233,1,0,4,5
RebeccayDwBt,True,MIDDLE,Renekton,59,49,88,8,18,88,3,6,13,18664,18845,0,12234,38530,9,0,14,0,1534,17,205,0.5161290322580645,0.14492805082687654,1,0,0,3
phantom1906,True,TOP,Renekton,66,50,99,10,18,49,7,9,17,19392,28168,0,7578,36560,9,0,16,0,1534,110,339,0.7741935483870968,0.21662451405539393,0,2,0,2
Jane Yue,False,UTILITY,Shen,39,22,32,6,17,85,3,5,12,17325,19751,2292,5693,23309,3,0,5,0,1534,133,167,0.36585365853658536,0.1406892132503779,18,9,0,0
Vickers,False,JUNGLE,Shen,81,36,50,6,17,54,13,10,15,17480,39304,2407,2650,32024,6,0,13,0,1534,1131,290,0.6829268292682927,0.27996090448344274,19,11,0,2
Frommoh,False,MIDDLE,Shen,74,17,28,5,17,113,5,10,13,17523,25588,1231,804,28570,6,0,10,0,1534,716,347,0.43902439024390244,0.18226782793882584,0,4,0,2
Ausfreak,False,TOP,Shen,85,28,42,3,17,44,6,9,17,16687,31423,1582,3616,29236,5,0,10,0,1534,976,275,0.5609756097560976,0.22382946998112768,17,19,1,0
MoMotaros,False,BOTTOM,Shen,46,21,41,5,17,90,4,7,16,17490,24323,1776,5177,33888,6,0,11,0,1534,1115,240,0.4878048780487805,0.17325258434622584,26,19,0,0
Vaciwaeko,True,TOP,Fiora,97,17,32,4,13,136,8,1,0,10647,15116,0,3437,12375,4,2,14,0,1186,145,41,0.7272727272727273,0.29201228821853126,1,7,6,0
Tronkekor,True,JUNGLE,Rammus,66,48,17,4,10,7,2,3,4,6518,6020,0,4201,13110,7,1,15,0,1186,370,61,0.5454545454545454,0.11630350402718119,2,11,0,0
CommanderGian,True,MIDDLE,Ahri,47,21,20,17,12,94,6,4,3,9707,9440,0,1742,9823,7,2,25,0,1186,29,103,0.8181818181818182,0.1823657514464606,8,17,3,3
SniperXT,True,BOTTOM,Kaisa,52,28,8,5,11,107,11,2,3,8150,9361,0,637,10008,4,2,9,0,1186,14,33,1.2727272727272727,0.18083651520211663,6,20,0,4
9962wolf,True,UTILITY,Morgana,37,49,15,4,11,34,3,1,14,7756,11828,223,2578,6927,13,2,29,0,1186,68,27,1.5454545454545454,0.22848194110571027,3,18,0,3
Ausfreak,False,TOP,Nasus,86,16,16,4,11,114,1,5,0,8140,4904,0,244,15093,4,1,6,0,1186,101,132,0.034482758620689655,0.14264368721297824,9,4,0,0
Frommoh,False,JUNGLE,Elise,96,85,41,62,10,11,5,4,3,6461,9197,0,4658,13691,3,0,18,0,1186,108,65,0.27586206896551724,0.26748552464419406,9,16,0,2
Kazutõra,False,MIDDLE,Pantheon,52,20,22,2,11,91,2,6,5,7384,7824,0,1134,13037,5,0,7,0,1186,16,144,0.2413793103448276,0.22754963400060496,45,37,0,1
Vickers,False,BOTTOM,Tristana,18,17,18,3,9,104,1,8,3,5728,5197,0,1018,11761,3,0,5,0,1186,26,134,0.13793103448275862,0.15115480933630665,22,16,0,2
JaxLaegeu,False,UTILITY,Senna,35,26,12,5,10,14,2,7,3,6187,7261,109,3831,11029,17,4,33,0,1186,133,101,0.1724137931034483,0.21116634480591612,28,34,1,2
SailorMoonLuxX,False,BOTTOM,Nocturne,161,62,17,27,18,146,10,8,3,29048,26226,0,7301,45665,8,0,14,0,2304,656,421,0.23636363636363636,0.21870299490459158,212,424,3,5
Vickers,False,TOP,Nocturne,117,36,44,36,18,105,10,12,18,31337,39483,0,11782,57162,6,0,10,0,2304,866,597,0.509090909090909,0.3292586265815977,351,489,5,4
Ausfreak,False,TOP,Nocturne,121,29,31,28,18,133,20,15,7,31512,40920,0,6703,59373,4,0,8,0,2304,715,709,0.4909090909090909,0.3412389074371451,415,561,10,5
Jefemarra,False,JUNGLE,Nocturne,21,21,9,0,14,8,0,10,3,12823,1107,0,788,11938,0,0,0,0,2304,61,245,0.05454545454545454,0.009234449308138062,59,117,0,1
MoistSock69,False,BOTTOM,Nocturne,92,37,28,20,18,190,6,10,1,27845,12179,0,9886,60721,4,0,7,0,2304,588,469,0.12727272727272726,0.10156502176852758,353,462,3,5
SSYMFGZT,True,TOP,Heimerdinger,139,152,117,17,18,315,8,7,10,37487,34633,0,2721,26888,9,0,12,0,2304,695,249,0.391304347826087,0.19354729067681653,31,19,5,3
Ickno,True,MIDDLE,Heimerdinger,152,103,85,21,18,176,15,10,18,33344,48585,0,3894,31828,2,0,5,0,2304,297,407,0.717391304347826,0.2715142793281299,26,37,2,5
XglossyMaxX,True,MIDDLE,Heimerdinger,86,115,78,15,18,134,5,10,20,28051,20442,0,4329,27911,8,0,12,0,2304,264,350,0.5434782608695652,0.1142439463691269,26,44,1,5
Acustic Mulsim,True,JUNGLE,Heimerdinger,123,58,63,12,18,81,8,9,25,29813,25800,0,5941,29444,4,0,4,0,2304,299,328,0.717391304347826,0.14418244327255703,44,40,0,5
xXBigMeatXx,True,MIDDLE,Heimerdinger,97,120,86,14,18,148,17,10,16,33771,49479,0,6630,28910,2,0,7,0,2304,244,442,0.717391304347826,0.2765120403533697,40,52,4,5
Hittus,True,UTILITY,Yasuo,100,7,40,0,13,80,1,6,1,10498,3363,0,1097,10980,6,0,18,0,1028,44,143,0.06896551724137931,0.06032167828689298,8,13,0,0
Fwoeni,True,UTILITY,Yasuo,72,10,21,1,12,22,1,4,1,9220,2530,0,325,6322,6,0,9,0,1028,23,98,0.06896551724137931,0.045379734638021,8,9,0,0
NikoKun,True,JUNGLE,Yasuo,112,8,34,2,15,52,7,8,11,13268,12851,0,1262,15712,4,0,6,0,1028,57,230,0.6206896551724138,0.23050047685889627,19,25,0,2
C R Animations,True,TOP,Yasuo,151,10,67,8,16,56,19,3,5,15270,26225,0,6435,20584,4,0,5,0,1028,61,103,0.8275862068965517,0.47036350553178563,17,26,10,3
Yasvo,True,MIDDLE,Yasuo,132,8,79,4,14,73,5,8,3,12347,10785,0,257,13648,2,0,3,0,1028,80,278,0.27586206896551724,0.19343460468440413,9,21,4,3
TrueSimba,False,JUNGLE,Pyke,20,21,15,1,11,9,3,11,7,8484,3675,0,1190,14862,2,0,3,0,1028,45,295,0.29411764705882354,0.07739624665695297,10,10,0,0
NotALeeMain,False,JUNGLE,Pyke,43,24,29,8,12,25,10,9,4,9843,12729,0,3281,15116,3,0,3,0,1028,124,216,0.4117647058823529,0.26805496277266316,14,10,0,0
czasaber,False,MIDDLE,Pyke,39,17,21,8,15,76,7,2,3,14341,6329,0,2352,12292,3,0,6,0,1028,188,71,0.29411764705882354,0.13328371607715286,11,6,3,1
Vickers,False,UTILITY,Pyke,45,27,21,7,13,33,6,9,9,10270,11316,0,1305,16540,2,0,3,0,1028,147,266,0.4411764705882353,0.23830036100949403,3,8,1,2
Ausfreak,False,UTILITY,Pyke,36,32,26,12,14,47,3,3,15,11640,13437,0,4101,13093,2,1,5,0,1028,120,119,0.5294117647058824,0.282964713483737,10,5,0,2
aydenn,True,TOP,Lux,32,19,86,9,13,62,12,0,4,11207,16881,528,682,3902,3,0,5,0,875,225,0,5.333333333333333,0.4167149605382017,54,72,4,3
22Daniel22,True,TOP,Lux,35,9,80,9,13,39,3,1,9,10859,4989,547,1322,5819,1,0,2,0,875,277,30,4,0.12317662510404477,74,140,0,3
Num1Teemo,True,BOTTOM,Lux,28,15,71,7,13,72,2,1,2,10133,5260,145,1803,4888,6,2,17,0,875,261,38,1.3333333333333333,0.1298533773953439,66,84,1,4
hulala6,True,UTILITY,Lux,41,22,107,4,13,53,4,0,4,10577,7284,926,1563,5171,4,1,6,0,875,225,0,2.6666666666666665,0.17981171609644864,58,77,1,4
366259,True,MIDDLE,Lux,29,12,71,4,13,54,2,1,0,10716,6094,0,2574,7664,3,0,4,0,875,213,30,0.6666666666666666,0.15044332086596102,82,134,1,0
Bánh Mì PaTê,False,UTILITY,Heimerdinger,42,11,7,3,11,28,0,4,1,7904,2201,0,170,5993,5,0,6,0,875,53,80,0.043478260869565216,0.09225593541683012,13,51,0,0
BehatluuU,False,MIDDLE,Heimerdinger,37,36,21,4,13,96,1,3,0,10748,8896,0,831,9366,4,0,6,0,875,77,79,0.043478260869565216,0.37287728042722124,19,45,1,2
BuckyAuS MinhBéo,False,BOTTOM,Heimerdinger,46,26,12,4,11,45,1,3,0,7910,4041,0,1828,10056,4,0,4,0,875,68,68,0.043478260869565216,0.16937413648590646,13,52,0,0
Vickers,False,TOP,Heimerdinger,47,20,16,4,10,32,1,6,0,7084,5000,0,626,9197,1,0,1,0,875,97,170,0.043478260869565216,0.20956312658682258,12,68,1,1
Ausfreak,False,TOP,Heimerdinger,24,21,24,3,10,35,0,7,0,7296,3720,0,1869,11276,1,0,1,0,875,86,174,0,0.15592952108321959,19,64,0,1
Hontono,False,TOP,Jayce,141,69,120,129,16,186,2,12,7,16130,22283,0,1968,31026,10,0,16,0,2149,135,377,0.2647058823529412,0.22392972404620798,48,34,1,0
Vickers,False,JUNGLE,Volibear,81,130,77,7,17,66,6,4,13,16926,21100,0,13819,35403,5,5,23,0,2149,444,91,0.5588235294117647,0.21204385950630739,60,34,0,0
Ausfreak,False,MIDDLE,Ahri,87,129,42,40,16,156,7,7,8,16027,21942,0,3965,21795,13,4,28,0,2149,57,207,0.4411764705882353,0.22050297010693506,44,29,1,0
Venoxin,False,BOTTOM,Jinx,200,54,12,9,17,267,10,4,6,17527,31081,0,1785,18917,7,1,11,0,2149,96,69,0.47058823529411764,0.31234978939712793,39,33,0,1
Vøid,False,UTILITY,Lulu,39,101,75,5,15,11,1,7,16,13892,3102,7424,968,14690,21,9,61,0,2149,159,161,0.5,0.03117365694342165,24,27,0,1
Team2Heavy,True,TOP,DrMundo,206,64,97,16,18,205,10,10,4,20448,32352,0,15774,62940,12,0,16,0,2149,335,395,0.5384615384615384,0.313923770241709,143,87,8,4
S33NYB01,True,JUNGLE,Khazix,249,94,52,21,18,38,13,3,3,18617,16974,0,13978,28008,12,2,28,0,2149,218,113,0.6153846153846154,0.1647132994323537,31,24,2,0
SasoriNoAkasuna,True,MIDDLE,Vex,87,39,61,19,17,190,3,5,10,17535,19978,0,3060,19271,4,10,24,0,2149,661,171,0.5,0.1938548731190268,47,34,1,1
Chief Keef,True,BOTTOM,Kaisa,78,67,99,3,17,266,5,3,8,17227,19479,0,4125,13812,11,2,23,0,2149,0,84,0.5,0.18901652644567038,28,29,1,0
AnarchNoise,True,UTILITY,Zyra,42,58,49,6,15,46,3,5,12,13333,14272,0,1758,13495,20,6,43,0,2149,258,174,0.5769230769230769,0.13849153076124016,18,29,0,0
Im Tobli ,True,TOP,Akshan,118,4,105,5,16,169,16,11,3,15395,27623,0,2018,23747,11,1,15,0,1928,43,292,0.59375,0.28383386867175675,58,33,5,0
Ordnaela,True,JUNGLE,Sejuani,27,102,72,7,15,40,3,8,7,14128,10799,0,7949,36557,10,4,26,0,1928,343,146,0.3125,0.1109700841174229,49,42,1,0
Logix1,True,MIDDLE,Ekko,91,27,39,5,17,212,12,6,10,17231,23095,0,4551,25498,7,4,24,0,1928,283,143,0.6875,0.23731096217304828,68,45,3,3
ILA,True,BOTTOM,Zeri,555,42,33,12,15,172,6,5,17,13952,21878,0,2214,30329,10,3,16,0,1928,142,108,0.71875,0.22480637547884846,61,68,0,0
