,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,211.0,240.0,270.0,181.0,211.0,211.0,218.0,181.0,181.0,417.0,270.0,181.0,181.0,320.0,211.0,218.0,181.0,120.0,211.0,13.0,211.0,181.0,320.0,181.0,211.0,181.0,320.0,180.0,320.0,60.0,113.0,320.0,211.0,113,113.0,12.0,0.0,407.0,295.0,320.0,181.0,113.0,37.0,0.0,113.0,113.0,113.0,131.0,113.0,211.0,0.0,181.0,240.0,181.0,181.0,211.0,320.0,240.0,181.0,211.0,150.0,211.0,320.0,150.0,211.0,181.0,211.0,37.0,248.0,181.0,211.0,320.0,301.0,0.0,120.0,270.0,320.0,211.0,0.0,320.0,181.0,1608.0,181.0,0.0,270.0,270.0,181.0,211.0,211.0,113.0,270.0,181.0,181.0,211.0,240.0,75.0,113.0,181.0,240.0,211.0
3,814.0,752.0,904.0,752.0,810.0,875.0,727.0,904.0,904.0,833.0,875.0,904.0,822.0,985.0,904.0,911.0,784.0,904.0,762.0,225.0,885.0,755.0,985.0,904.0,1090.0,733.0,870.0,904.0,827.0,560.0,506.0,720.0,845.0,564,527.0,344.0,465.0,833.0,833.0,815.0,847.0,431.0,613.0,350.0,338.0,226.0,376.0,497.0,394.0,904.0,634.0,721.0,542.0,882.0,777.0,904.0,995.0,691.0,815.0,815.0,1004.0,663.0,833.0,909.0,1090.0,904.0,722.0,412.0,912.0,799.0,845.0,815.0,684.0,527.0,845.0,904.0,995.0,752.0,457.0,833.0,875.0,2270.0,811.0,465.0,722.0,752.0,899.0,785.0,815.0,602.0,692.0,726.0,871.0,904.0,652.0,315.0,431.0,571.0,815.0,893.0
4,1373.0,1109.0,1086.0,910.0,1110.0,1377.0,1299.0,1393.0,1055.0,1283.0,1423.0,1386.0,1423.0,1363.0,1148.0,1453.0,1385.0,1446.0,882.0,896.0,1324.0,1386.0,1178.0,1262.0,1511.0,1049.0,1172.0,1371.0,1231.0,810.0,636.0,1253.0,1446.0,883,733.0,901.0,795.0,1388.0,1028.0,1070.0,1343.0,946.0,834.0,860.0,562.0,600.0,645.0,778.0,753.0,1416.0,1025.0,1355.0,902.0,1394.0,1378.0,1365.0,1283.0,1549.0,1446.0,1446.0,1488.0,1165.0,1580.0,1596.0,1511.0,1292.0,1378.0,814.0,1335.0,1221.0,1057.0,1304.0,1466.0,963.0,1385.0,1704.0,1331.0,1446.0,856.0,1471.0,1446.0,2766.0,1264.0,749.0,1153.0,1446.0,1289.0,1235.0,1446.0,977.0,1446.0,1355.0,1112.0,1116.0,1075.0,804.0,1066.0,785.0,1228.0,1266.0
5,1495.0,1525.0,1660.0,1570.0,1793.0,1679.0,1934.0,1753.0,1899.0,1690.0,1967.0,2032.0,1997.0,1738.0,1718.0,1808.0,1808.0,2410.0,1603.0,1429.0,1777.0,1423.0,1651.0,1670.0,2145.0,1563.0,1391.0,1520.0,1603.0,1263.0,1121.0,1732.0,1806.0,1400,941.0,1475.0,1263.0,1664.0,1360.0,1317.0,1512.0,1059.0,1113.0,991.0,866.0,1097.0,1289.0,1136.0,999.0,2034.0,1809.0,1911.0,1536.0,1978.0,2012.0,1657.0,1605.0,1760.0,2000.0,1608.0,2259.0,1859.0,1801.0,1993.0,1995.0,1776.0,1678.0,1020.0,2058.0,1795.0,1716.0,1509.0,1617.0,1286.0,1567.0,2004.0,1441.0,1600.0,1226.0,1695.0,2080.0,3589.0,1839.0,1254.0,1698.0,1944.0,1863.0,1569.0,1961.0,1237.0,2019.0,2004.0,1526.0,1578.0,1738.0,1237.0,1467.0,,1828.0,1866.0
6,2430.0,2067.0,2159.0,2144.0,2063.0,2068.0,2705.0,2403.0,2038.0,2112.0,2691.0,2714.0,2130.0,2333.0,2352.0,2442.0,2503.0,2620.0,1751.0,1908.0,2188.0,1755.0,2473.0,2305.0,2583.0,2047.0,1542.0,1962.0,2139.0,1655.0,1535.0,2279.0,2258.0,1989,1385.0,1513.0,1528.0,1943.0,1754.0,1865.0,2083.0,1839.0,1559.0,1595.0,1551.0,1172.0,1440.0,1436.0,1546.0,2575.0,2080.0,2495.0,2166.0,2401.0,2312.0,1960.0,2145.0,2491.0,2634.0,2135.0,2612.0,2493.0,2433.0,2564.0,2187.0,2410.0,1788.0,1095.0,2632.0,2358.0,2188.0,1994.0,1951.0,1423.0,2306.0,2275.0,2187.0,2353.0,1370.0,2015.0,2714.0,4155.0,2193.0,1627.0,1883.0,2307.0,2136.0,2117.0,2593.0,1648.0,2559.0,2578.0,2160.0,2163.0,2312.0,1380.0,1542.0,,2368.0,2440.0
7,2879.0,2368.0,2670.0,2469.0,2665.0,2485.0,3186.0,2647.0,2587.0,2383.0,2913.0,3404.0,2429.0,2496.0,2666.0,2983.0,2898.0,2803.0,1919.0,2318.0,3054.0,2064.0,2635.0,2637.0,3162.0,2994.0,2043.0,2560.0,2379.0,2746.0,1930.0,2329.0,2981.0,2064,2087.0,2237.0,1783.0,2368.0,1969.0,2301.0,2777.0,1925.0,2181.0,2107.0,1832.0,1393.0,2087.0,1732.0,1918.0,3298.0,2561.0,2574.0,2545.0,2751.0,2913.0,2400.0,2497.0,2982.0,3054.0,2405.0,2932.0,2974.0,2864.0,2594.0,2751.0,2770.0,2010.0,1498.0,3079.0,3301.0,2583.0,2389.0,2593.0,1965.0,2697.0,2755.0,2408.0,2854.0,1843.0,2434.0,2985.0,5046.0,3001.0,1849.0,2243.0,2408.0,2407.0,2967.0,3013.0,1876.0,3072.0,3119.0,2609.0,2764.0,3255.0,2019.0,2096.0,,2698.0,3323.0
8,3466.0,3062.0,3184.0,2833.0,2845.0,3013.0,3773.0,2815.0,3222.0,3285.0,3273.0,3636.0,3272.0,2665.0,2972.0,3344.0,3198.0,3485.0,2372.0,2791.0,3657.0,2398.0,3218.0,3360.0,3289.0,3567.0,2728.0,3184.0,2678.0,3296.0,2469.0,3272.0,3615.0,2533,2258.0,2895.0,2395.0,2952.0,2415.0,2837.0,3288.0,2649.0,2366.0,2235.0,1832.0,1933.0,2124.0,2262.0,2331.0,4093.0,3014.0,3154.0,3022.0,3385.0,3487.0,2974.0,3026.0,3617.0,3207.0,2583.0,3677.0,3574.0,3222.0,3346.0,3385.0,3206.0,2554.0,1721.0,3576.0,3872.0,2860.0,2866.0,2780.0,2159.0,3599.0,2755.0,2646.0,3494.0,2440.0,2788.0,3515.0,5924.0,3222.0,1904.0,2513.0,3026.0,3041.0,3028.0,3586.0,2327.0,3659.0,4157.0,2972.0,3277.0,3708.0,2378.0,2429.0,,3085.0,3836.0
9,3767.0,3696.0,3491.0,3556.0,3678.0,3662.0,4137.0,3359.0,3693.0,4009.0,3757.0,3683.0,3637.0,3142.0,3462.0,4015.0,3869.0,4297.0,2946.0,3163.0,4017.0,2822.0,3575.0,3631.0,3923.0,4126.0,3441.0,3548.0,3090.0,3931.0,2582.0,3709.0,4215.0,2821,2691.0,3570.0,2950.0,3218.0,3027.0,3362.0,3887.0,3215.0,2661.0,2819.0,1942.0,2177.0,2660.0,2631.0,2591.0,4377.0,3685.0,3669.0,3493.0,3595.0,3710.0,3436.0,3665.0,3980.0,3573.0,2949.0,4259.0,4300.0,3836.0,3859.0,3991.0,3811.0,2705.0,2137.0,3880.0,4476.0,3494.0,2996.0,3214.0,2548.0,4370.0,3452.0,3252.0,4032.0,3197.0,3615.0,4149.0,6463.0,3586.0,3023.0,2784.0,3325.0,3618.0,3421.0,4162.0,2813.0,4294.0,5496.0,3708.0,4079.0,4554.0,2805.0,2752.0,,4021.0,4167.0
10,4253.0,4237.0,4032.0,4331.0,4038.0,4203.0,4609.0,3777.0,4114.0,4373.0,4057.0,4082.0,4228.0,3983.0,3888.0,4454.0,4192.0,4975.0,3318.0,3723.0,4825.0,3569.0,3744.0,4051.0,4464.0,4518.0,3697.0,3994.0,3572.0,4767.0,3805.0,3907.0,4695.0,3375,2897.0,4040.0,3232.0,4203.0,3300.0,4073.0,4367.0,3663.0,3131.0,3022.0,2269.0,2471.0,3003.0,3158.0,2853.0,4788.0,4147.0,4210.0,3960.0,4119.0,4236.0,4089.0,4084.0,4751.0,3936.0,3256.0,4359.0,4495.0,4262.0,4400.0,4641.0,4352.0,3428.0,2197.0,3973.0,4594.0,3763.0,3557.0,3621.0,3090.0,4640.0,3812.0,3725.0,4532.0,3515.0,4197.0,4550.0,7835.0,4127.0,3512.0,3379.0,3566.0,3918.0,3868.0,4735.0,3288.0,4644.0,5766.0,3885.0,4591.0,4740.0,3356.0,3069.0,,4502.0,4740.0
11,4464.0,5001.0,4328.0,4614.0,4342.0,4822.0,5220.0,4081.0,4893.0,4667.0,4570.0,4298.0,4750.0,4786.0,4302.0,4877.0,4856.0,5185.0,4412.0,4514.0,5314.0,4143.0,4167.0,4232.0,4917.0,5152.0,3734.0,4355.0,4548.0,5401.0,4292.0,4977.0,5030.0,3848,3203.0,4528.0,3635.0,4398.0,3794.0,4445.0,4428.0,3663.0,3675.0,3667.0,2431.0,3012.0,3417.0,3852.0,3143.0,5499.0,4478.0,4633.0,4296.0,4264.0,4363.0,4587.0,4267.0,5596.0,3964.0,3728.0,4840.0,4705.0,5090.0,5032.0,5005.0,4854.0,3961.0,2840.0,4651.0,4714.0,4428.0,4482.0,4012.0,3786.0,4974.0,4413.0,4071.0,5272.0,4010.0,4457.0,4910.0,9367.0,4299.0,4109.0,3730.0,3796.0,4684.0,4127.0,6051.0,3393.0,4837.0,6291.0,4439.0,5202.0,5361.0,3520.0,3613.0,,4925.0,5444.0
12,4617.0,5364.0,4964.0,4873.0,4875.0,5053.0,5865.0,4655.0,5347.0,5282.0,5205.0,5196.0,5088.0,5678.0,4882.0,5541.0,5324.0,5647.0,5183.0,5289.0,5599.0,5066.0,4433.0,4882.0,5535.0,5532.0,3784.0,5003.0,5344.0,6036.0,4794.0,5280.0,5394.0,4154,3830.0,5268.0,4139.0,4983.0,3973.0,5579.0,5032.0,4366.0,3921.0,4344.0,3389.0,3334.0,4278.0,4454.0,3395.0,5854.0,4927.0,4936.0,4568.0,4898.0,5224.0,4890.0,5092.0,5961.0,4190.0,4249.0,5203.0,5839.0,5644.0,5567.0,5322.0,5598.0,4159.0,3067.0,4973.0,5168.0,4965.0,4883.0,4348.0,4049.0,5758.0,5178.0,4647.0,5729.0,4289.0,5163.0,5702.0,10074.0,4826.0,4458.0,4565.0,4048.0,5074.0,4735.0,6342.0,3922.0,5280.0,6962.0,4991.0,5876.0,6077.0,4020.0,3782.0,,5175.0,6213.0
13,5201.0,5402.0,5522.0,5193.0,5288.0,5537.0,6499.0,4968.0,5665.0,5719.0,5647.0,5678.0,6241.0,6489.0,5271.0,6295.0,5866.0,6252.0,5424.0,5899.0,6084.0,5508.0,5073.0,5261.0,5967.0,5862.0,4500.0,5484.0,5684.0,6439.0,5106.0,5564.0,5576.0,4715,3830.0,5749.0,4650.0,5943.0,4689.0,5579.0,5574.0,4471.0,4472.0,4549.0,3487.0,3431.0,4466.0,4585.0,3997.0,6495.0,5106.0,5207.0,4568.0,5206.0,5676.0,5973.0,5545.0,6412.0,5155.0,4737.0,5413.0,6320.0,6678.0,5927.0,6240.0,5931.0,4519.0,3359.0,5476.0,5910.0,5519.0,5628.0,5267.0,4456.0,6032.0,5854.0,4932.0,6020.0,5162.0,5904.0,6175.0,10644.0,4976.0,5045.0,4835.0,4378.0,5763.0,5306.0,6851.0,4039.0,5566.0,7998.0,5612.0,6113.0,6335.0,4251.0,4062.0,,5506.0,6612.0
14,5774.0,5885.0,6134.0,5713.0,6041.0,6235.0,6903.0,5292.0,5902.0,6251.0,6448.0,6213.0,6620.0,7175.0,5928.0,7172.0,6382.0,6999.0,6013.0,6802.0,6741.0,5508.0,6116.0,5615.0,6331.0,6844.0,5130.0,6260.0,6488.0,6747.0,5182.0,6304.0,5785.0,4991,4065.0,6927.0,5009.0,6729.0,5136.0,6362.0,6409.0,5015.0,4586.0,5064.0,4390.0,3979.0,5349.0,5490.0,4129.0,6990.0,5529.0,5660.0,5503.0,6148.0,6164.0,6367.0,5610.0,6821.0,5603.0,5024.0,5773.0,6894.0,7462.0,6595.0,6698.0,6530.0,4740.0,3893.0,5811.0,6656.0,6033.0,6206.0,5361.0,5006.0,6456.0,6731.0,5262.0,6550.0,6043.0,6219.0,6651.0,12225.0,5640.0,6201.0,5494.0,4686.0,6587.0,5940.0,7675.0,4737.0,5781.0,8362.0,6218.0,6563.0,6957.0,4501.0,4517.0,,6115.0,7013.0
15,6409.0,6470.0,6805.0,6523.0,6372.0,6968.0,7657.0,5817.0,6715.0,6962.0,7191.0,6551.0,7195.0,8274.0,6434.0,7733.0,7147.0,7316.0,6559.0,7473.0,7105.0,6148.0,6206.0,6020.0,6988.0,7422.0,5670.0,6517.0,7264.0,8027.0,5854.0,6727.0,6946.0,5387,4340.0,7075.0,6079.0,6927.0,5615.0,7197.0,6577.0,5315.0,5094.0,5544.0,4390.0,4298.0,5480.0,5822.0,4745.0,7568.0,5548.0,5912.0,5773.0,6661.0,6730.0,7538.0,6518.0,7637.0,6115.0,5378.0,6702.0,7388.0,8279.0,7169.0,7175.0,6801.0,4761.0,4345.0,6169.0,6959.0,6738.0,6206.0,5954.0,5237.0,6569.0,7283.0,5786.0,6550.0,6730.0,6983.0,7015.0,12920.0,6171.0,6435.0,6315.0,5471.0,6832.0,6480.0,8309.0,4737.0,6051.0,8996.0,6757.0,6686.0,7568.0,4652.0,4974.0,,6934.0,7319.0
